CountryCode,year,CountryName,IndicatorName,IndicatorCode,population
PAK,1960,Pakistan,"Population, total",SP.POP.TOTL,45954226
PAK,1961,Pakistan,"Population, total",SP.POP.TOTL,47060915
PAK,1962,Pakistan,"Population, total",SP.POP.TOTL,48161841
PAK,1963,Pakistan,"Population, total",SP.POP.TOTL,49325050
PAK,1964,Pakistan,"Population, total",SP.POP.TOTL,50552592
PAK,1965,Pakistan,"Population, total",SP.POP.TOTL,51841626
PAK,1966,Pakistan,"Population, total",SP.POP.TOTL,53199414
PAK,1967,Pakistan,"Population, total",SP.POP.TOTL,54629793
PAK,1968,Pakistan,"Population, total",SP.POP.TOTL,56124743
PAK,1969,Pakistan,"Population, total",SP.POP.TOTL,57676805
PAK,1970,Pakistan,"Population, total",SP.POP.TOTL,59290872
PAK,1971,Pakistan,"Population, total",SP.POP.TOTL,60878781
PAK,1972,Pakistan,"Population, total",SP.POP.TOTL,62509565
PAK,1973,Pakistan,"Population, total",SP.POP.TOTL,64285624
PAK,1974,Pakistan,"Population, total",SP.POP.TOTL,66149169
PAK,1975,Pakistan,"Population, total",SP.POP.TOTL,68126999
PAK,1976,Pakistan,"Population, total",SP.POP.TOTL,70230923
PAK,1977,Pakistan,"Population, total",SP.POP.TOTL,72451105
PAK,1978,Pakistan,"Population, total",SP.POP.TOTL,74789330
PAK,1979,Pakistan,"Population, total",SP.POP.TOTL,77407341
PAK,1980,Pakistan,"Population, total",SP.POP.TOTL,80624057
PAK,1981,Pakistan,"Population, total",SP.POP.TOTL,84270202
PAK,1982,Pakistan,"Population, total",SP.POP.TOTL,87828198
PAK,1983,Pakistan,"Population, total",SP.POP.TOTL,91080372
PAK,1984,Pakistan,"Population, total",SP.POP.TOTL,94003867
PAK,1985,Pakistan,"Population, total",SP.POP.TOTL,97121552
PAK,1986,Pakistan,"Population, total",SP.POP.TOTL,100618523
PAK,1987,Pakistan,"Population, total",SP.POP.TOTL,104251093
PAK,1988,Pakistan,"Population, total",SP.POP.TOTL,107967838
PAK,1989,Pakistan,"Population, total",SP.POP.TOTL,111670386
PAK,1990,Pakistan,"Population, total",SP.POP.TOTL,115414069
PAK,1991,Pakistan,"Population, total",SP.POP.TOTL,119203569
PAK,1992,Pakistan,"Population, total",SP.POP.TOTL,122375179
PAK,1993,Pakistan,"Population, total",SP.POP.TOTL,125546615
PAK,1994,Pakistan,"Population, total",SP.POP.TOTL,129245139
PAK,1995,Pakistan,"Population, total",SP.POP.TOTL,133117476
PAK,1996,Pakistan,"Population, total",SP.POP.TOTL,137234810
PAK,1997,Pakistan,"Population, total",SP.POP.TOTL,141330267
PAK,1998,Pakistan,"Population, total",SP.POP.TOTL,145476106
PAK,1999,Pakistan,"Population, total",SP.POP.TOTL,149694462
PAK,2000,Pakistan,"Population, total",SP.POP.TOTL,154369924
PAK,2001,Pakistan,"Population, total",SP.POP.TOTL,159217727
PAK,2002,Pakistan,"Population, total",SP.POP.TOTL,163262807
PAK,2003,Pakistan,"Population, total",SP.POP.TOTL,166876680
PAK,2004,Pakistan,"Population, total",SP.POP.TOTL,170648620
PAK,2005,Pakistan,"Population, total",SP.POP.TOTL,174372098
PAK,2006,Pakistan,"Population, total",SP.POP.TOTL,178069984
PAK,2007,Pakistan,"Population, total",SP.POP.TOTL,181924521
PAK,2008,Pakistan,"Population, total",SP.POP.TOTL,185931955
PAK,2009,Pakistan,"Population, total",SP.POP.TOTL,190123222
PAK,2010,Pakistan,"Population, total",SP.POP.TOTL,194454498
PAK,2011,Pakistan,"Population, total",SP.POP.TOTL,198602738
PAK,2012,Pakistan,"Population, total",SP.POP.TOTL,202205861
PAK,2013,Pakistan,"Population, total",SP.POP.TOTL,205337562
PAK,2014,Pakistan,"Population, total",SP.POP.TOTL,208251628
PAK,2015,Pakistan,"Population, total",SP.POP.TOTL,210969298
PAK,2016,Pakistan,"Population, total",SP.POP.TOTL,213524840
PAK,2017,Pakistan,"Population, total",SP.POP.TOTL,216379655
PAK,2018,Pakistan,"Population, total",SP.POP.TOTL,219731479
PAK,2019,Pakistan,"Population, total",SP.POP.TOTL,223293280
PAK,2020,Pakistan,"Population, total",SP.POP.TOTL,227196741
PAK,2021,Pakistan,"Population, total",SP.POP.TOTL,231402117
